id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
279,SG,57.5,0.446833333,0.2685,2.533333333,17.96666667,5.55,6326327.5
280,PG,4,0.392,0.3,3.15,9.2,3.85,557104.5
281,PG,41,0.349,0.314,2.9,7.8,3.9,3615000
282,SF,9,0.3325,0.304,2.75,8.75,1.55,1059240
283,C,24,0.4925,0,5.25,10.25,0.65,1066920
284,PF,66.75,0.5475,0.03125,3.625,16.4,1.375,1555232
285,PG,3.75,0.421125,0.376125,2.675,14.1375,5.325,1988732.625
286,SG,0,0.3095,0.25,3.15,11.65,5.7,179556
287,PF,38.2,0.509,0.0334,4.36,15.32,1.36,6434297.8
288,PF,0,0.561,0,3.3,14.3,1.5,427163
289,PG,62.33333333,0.41,0.323888889,2.333333333,13.48888889,6.477777778,4144863.444
290,SG,2.5,0.40325,0.354,2.175,13.525,3.425,1419130.75
291,C,1.75,0.48625,0,7.975,9.55,1.15,879375
292,SF,35.2,0.461,0.2584,2,9.18,2.44,3997159.8
293,SF,35.8,0.423,0.3858,1.54,12.86,2,12868049.8
294,SG,58.5,0.397875,0.369625,3.2375,11.6375,3.8125,5031038.375
295,PG,1,0.337,0.269,4.2,12.7,5,359858
296,PG,30,0.377666667,0.320666667,1.866666667,12.76666667,6.833333333,3192000
297,C,0,0.333,0,4.6,3.7,0,225341
298,SG,6.5,0.4335,0.3385,3.15,15.45,2.45,986802
299,PF,0,0.667,0,19.4,11.1,0,116711
300,PG,35.85714286,0.435142857,0.267142857,3.157142857,14.28571429,7.471428571,5625549.143
301,PG,0,0.344,0.231,1.9,13.3,3.8,42009
302,C,3.5,0.5145,0,9.3,10.2,0.25,6402330
303,C,23.42857143,0.504142857,0.183714286,5.014285714,7.728571429,1.885714286,5318928.571
304,SG,13.33333333,0.450666667,0.387,4.1,15.8,3,1422680
305,SG,42.77777778,0.405333333,0.371777778,2.977777778,15.06666667,4.022222222,3178489
306,C,19.5,0.5415,0,4.025,8.025,0.875,8414216.25
307,SG,1,0.38,0.3045,2.35,10.9,2,671533.5
308,PG,16.5,0.3705,0.3065,4.1,12.2,5.15,16285000
309,SG,0,0.5,0.5,11.1,8.3,8.3,183210
310,PG,3,0.344,0.294,3.9,8.6,9,110420
311,PG,1.75,0.4145,0.3605,2.525,16.15,3.825,2008150.75
312,C,3,0.457666667,0,5.066666667,9.533333333,1.233333333,2975000
313,PF,0,0.296,0.136,3.2,9.8,1.7,145961
314,PF,43.44444444,0.438222222,0.341222222,4.322222222,14.03333333,1.522222222,4168262.778
315,C,8.8,0.4722,0,6.4,11.62,1.16,5750530
316,C,0,0,0,0,0,0,92396
317,PG,0,0.5,0,0.7,8.7,2,1556160
318,SG,4,0.413,0.282333333,2.8,14.7,5.733333333,483618
319,SF,42.8,0.4208,0.3762,2.68,16.8,2.2,6089318.4
320,PG,41,0.399,0.352,3.2,13.2,3.7,235762
321,PF,30,0.37,0.3585,1.35,10.7,1.95,3875000
322,SF,13,0.409444444,0.339111111,3.722222222,12.27777778,2.277777778,2771560
323,SG,0,0.3205,0.212,2.35,12.8,0.75,406484
324,PF,64.9,0.5028,0.1732,2.87,17.39,3.2,17995897.8
325,PG,0,0.327,0.2,1.2,9.7,7.5,473604
326,PF,0,0.356333333,0.316,4.433333333,9.466666667,1.633333333,3525000
327,C,72.85714286,0.511571429,0.134428571,3.3,15.05714286,3.2,9616728.143
328,PF,67.8,0.5148,0.2899,2.16,18.35,3.53,15060100
329,SF,68.33333333,0.450444444,0.345333333,2.5,18.53333333,2.355555556,10312948.33
330,SF,34.6,0.4326,0.3336,3.06,11.58,1.68,1869853
331,SF,9,0.473,0.324666667,2.7,10.8,1.9,683766
332,SF,9.4,0.3928,0.3338,3.74,9.72,1.26,2508794
333,SF,48.8,0.4206,0.3634,3.34,17.5,2.92,5285280.6
334,PG,11,0.400571429,0.408714286,3.128571429,11.62857143,2.942857143,3157167.714
335,PF,19.83333333,0.486833333,0.020833333,3.866666667,13.36666667,1.333333333,3509828.5
336,SF,0.5,0.567,0,4.45,14.2,1,993000
337,SF,0,1,0,0,14.4,0,26917
338,PG,0.333333333,0.425333333,0.434666667,5.466666667,11.3,5.933333333,452751
339,SG,23.2,0.456,0.3695,2.77,20.04,5.87,9883961.5
340,SG,14,0.445,0.365,3.533333333,14.43333333,2.333333333,4000000
341,PF,7,0.424,0,4.6,8,0.7,248263
342,C,4,0.471,0,8.4,7.6,0.4,161061
343,C,18.5,0.545,0,3.8,10,1.2,1103100
344,PG,0,0.143,0,0,3.3,3.3,74652
345,SF,46.375,0.425,0.283375,2.8875,11.5,1.6875,2320942.5
346,PF,40.375,0.437125,0.191375,3.7,14.8375,1.75,6389676.5
347,SG,1,0.424,0.216,3.35,14.3,2.2,1088340
348,PF,8,0.447,0.271,3.7,11,1.5,3992040
349,SG,26.6,0.4252,0.3844,2.89,18.25,3.2,8125869.9
350,PF,0,0.421,0,3.5,8.6,1,40000
351,SG,50.57142857,0.436285714,0.362428571,2.128571429,18.38571429,3.614285714,7877496.571
352,C,38.25,0.5395,0.28125,3.3375,13.7875,1.2375,5690832.75
353,SG,0,0.391,0.373,2.7,15,1.7,473604
354,SF,14,0.477666667,0.322,4.766666667,13.28333333,1.233333333,1467364.167
355,SG,7.166666667,0.4525,0.305666667,4.716666667,13.61666667,1.533333333,630379
356,SF,43.1,0.4148,0.3534,3.18,17.56,1.95,6866032.5
357,C,2,0.415,0,6.5,8.9,1,16006220
358,SF,11,0.352,0.314,3.8,10.7,2.1,884879
359,C,12.42857143,0.508571429,0,6.371428571,9.928571429,2,1561984.571
360,SG,42.83333333,0.438166667,0.389833333,2.466666667,14.11666667,1.916666667,2115605.167
361,SG,0,0.214,0,3.5,6.7,1.9,398762
362,PF,20.5,0.39425,0.29175,3.15,12.675,1.55,1286974
363,PF,30.66666667,0.392333333,0.293,4.566666667,10.4,3,880247.6667
364,PG,1,0.377,0.298,2.3,12.8,3.4,507336
365,SG,12.75,0.4235,0.352,3.7625,17.725,1.9,1989119.5
366,PF,1,0.574,0,5.5,13.6,0.9,59686
367,SF,63.5,0.439166667,0.342666667,2.6,15.95,1.866666667,6109633.333
368,SG,1.666666667,0.422,0.135666667,3.566666667,12.63333333,4.7,371679
369,SG,30.44444444,0.430666667,0.353,3.011111111,14.25555556,2.355555556,2498474.333
370,SG,0,0.433,0.346,2.7,13.9,4.4,664209
371,SF,23,0.4765,0,4.05,7.65,3.1,1121859
372,PF,75,0.5246,0.2538,3.14,21.72,4.04,10486272.8
373,PF,13.5,0.305,0.0975,3.2,7.75,1.35,2600000
374,SF,0,0.4,0,4.5,11.3,1.1,457588
375,PG,1,0.537,0,5.1,10.9,4.5,59686
376,C,0,0.4714,0,7,12.28,1.54,1480000
377,SG,0,0.508,0.091,3.85,11.4,2.4,543755.5
378,SG,2,0.323,0.301,3.2,13.3,1.1,1149720
379,SF,0,0.476,0.6,4.1,20.5,0,825497
380,SF,0,0.25,0,2.8,5.5,2.8,135895
381,SF,4.25,0.41025,0.3905,2.7,15.1,2.2,886889.25
382,C,14,0.478,0.323,3.5,11.1,1.8,816482
383,SG,54.5,0.451125,0.3705,2.7375,18.5875,4.1625,10656250
384,C,0,0.5,0,3.7,19.1,0,329138
385,PG,0,0.333,0.261,4.1,10.3,3.8,473604
386,PF,8.333333333,0.442833333,0.023833333,4.4,14.38333333,0.983333333,2593382.333
387,PF,0.5,0.3685,0.24,3.55,10.15,1.3,617899.5
388,SF,4,0.3265,0.2105,3.1,5.8,3.95,8035071
389,SG,15.5,0.4085,0.3525,2.65,16.5,2,1223700
390,SG,39.83333333,0.444,0.3705,2.866666667,21.08333333,4.666666667,7868991.833
391,SF,34.66666667,0.441333333,0.278666667,2.9,10.23333333,1.233333333,1809880
